date,equity,equity_normalized,equity_change_pct
2021-10-18,100000.0,100.0,0.0
2021-10-19,100000.0,100.0,0.0
2021-10-20,100000.0,100.0,0.0
2021-10-21,100000.0,100.0,0.0
2021-10-22,100000.0,100.0,0.0
2021-10-25,100000.0,100.0,0.0
2021-10-26,100000.0,100.0,0.0
2021-10-27,100000.0,100.0,0.0
2021-10-28,100000.0,100.0,0.0
2021-10-29,100000.0,100.0,0.0
2021-11-01,100000.0,100.0,0.0
2021-11-02,100000.0,100.0,0.0
2021-11-03,100000.0,100.0,0.0
2021-11-04,100000.0,100.0,0.0
2021-11-05,100000.0,100.0,0.0
2021-11-08,100000.0,100.0,0.0
2021-11-09,100000.0,100.0,0.0
2021-11-10,100000.0,100.0,0.0
2021-11-11,100000.0,100.0,0.0
2021-11-12,100000.0,100.0,0.0
2021-11-15,100000.0,100.0,0.0
2021-11-16,100000.0,100.0,0.0
2021-11-17,100000.0,100.0,0.0
2021-11-18,100000.0,100.0,0.0
2021-11-19,100000.0,100.0,0.0
2021-11-22,100000.0,100.0,0.0
2021-11-23,100000.0,100.0,0.0
2021-11-24,100000.0,100.0,0.0
2021-11-25,100000.0,100.0,0.0
2021-11-26,100000.0,100.0,0.0
2021-11-29,100000.0,100.0,0.0
2021-11-30,100000.0,100.0,0.0
2021-12-01,100000.0,100.0,0.0
2021-12-02,100000.0,100.0,0.0
2021-12-03,100000.0,100.0,0.0
2021-12-06,100000.0,100.0,0.0
2021-12-07,100000.0,100.0,0.0
2021-12-08,100000.0,100.0,0.0
2021-12-09,100000.0,100.0,0.0
2021-12-10,100000.0,100.0,0.0
2021-12-13,100000.0,100.0,0.0
2021-12-14,100000.0,100.0,0.0
2021-12-15,100000.0,100.0,0.0
2021-12-16,100000.0,100.0,0.0
2021-12-17,100000.0,100.0,0.0
2021-12-20,100000.0,100.0,0.0
2021-12-21,100000.0,100.0,0.0
2021-12-22,100000.0,100.0,0.0
2021-12-23,100000.0,100.0,0.0
2021-12-24,99825.685,99.825685,-0.17431500000000266
2021-12-27,101335.06593,101.33506592999998,1.33506592999999
2021-12-28,101265.29042,101.26529042000001,1.2652904200000092
2021-12-29,101771.73468,101.77173468000001,1.7717346800000033
2021-12-30,101611.2665,101.61126650000001,1.6112665000000082
2021-12-31,101818.46896,101.81846895999999,1.818468959999997
2022-01-03,101202.66491,101.20266491000001,1.2026649100000064
2022-01-04,101671.35121,101.67135121,1.6713512099999939
2022-01-05,99662.2411,99.6622411,-0.33775889999999587
2022-01-06,100194.98885,100.19498885,0.19498884999999966
2022-01-07,99505.17006,99.50517006,-0.4948299399999967
2022-01-10,98949.88516,98.94988516000001,-1.0501148399999938
2022-01-11,99903.77716,99.90377715999999,-0.09622284000000425
2022-01-12,100084.87917,100.08487917,0.08487916999999623
2022-01-13,99562.49299,99.56249299,-0.43750701000000447
2022-01-14,99084.68388,99.08468388,-0.9153161199999982
2022-01-17,99099.68388,99.09968388,-0.9003161199999998
2022-01-18,97879.98884,97.87998884000001,-2.1200111599999905
2022-01-19,96954.2402,96.9542402,-3.045759800000003
2022-01-20,95797.65288,95.79765288,-4.202347120000005
2022-01-21,94782.69737,94.78269737,-5.21730263000001
2022-01-24,95089.00195,95.08900195000001,-4.910998049999993
2022-01-25,94648.85898,94.64885898,-5.351141019999995
2022-01-26,94358.79882,94.35879882,-5.6412011799999995
2022-01-27,93516.88171,93.51688170999999,-6.48311829
2022-01-28,94882.57727,94.88257726999998,-5.11742273000001
2022-01-31,96227.31563,96.22731562999999,-3.7726843700000012
2022-02-01,96623.7056,96.6237056,-3.3762944000000017
2022-02-02,97528.5107,97.5285107,-2.471489299999996
2022-02-03,96722.0453,96.72204529999999,-3.2779547000000075
2022-02-04,96412.92564,96.41292564,-3.5870743599999977
2022-02-07,96435.19084,96.43519083999999,-3.5648091600000043
2022-02-08,96989.41928,96.98941927999999,-3.01058072
2022-02-09,98344.1547,98.34415469999999,-1.6558453000000029
2022-02-10,96962.53415,96.96253415,-3.0374658499999985
2022-02-11,96152.81697,96.15281697,-3.847183030000001
2022-02-14,95123.51694,95.12351694,-4.8764830600000035
2022-02-15,95736.78126,95.73678126,-4.263218739999997
2022-02-16,96047.75405,96.04775405,-3.9522459499999996
2022-02-17,94599.06949,94.59906949,-5.400930510000002
2022-02-18,94348.82539,94.34882539,-5.651174609999998
2022-02-21,94337.86499,94.33786499,-5.662135010000002
2022-02-22,93712.8562,93.71285619999999,-6.287143800000006
2022-02-23,92441.01944,92.44101944,-7.558980559999995
2022-02-24,93010.60587,93.01060586999999,-6.989394130000004
2022-02-25,95648.53312000001,95.64853312000001,-4.351466879999988
2022-02-28,95528.12802,95.52812802,-4.471871979999998
2022-03-01,94550.18389,94.55018389,-5.449816109999994
2022-03-02,96274.85497,96.27485497,-3.725145029999999
2022-03-03,96219.48238,96.21948238,-3.7805176200000012
2022-03-04,96021.17074,96.02117074,-3.978829259999994
2022-03-07,94101.53425,94.10153425,-5.898465750000003
2022-03-08,93424.9344,93.4249344,-6.575065599999997
2022-03-09,94979.23277,94.97923277,-5.020767230000001
2022-03-10,94729.67515,94.72967514999999,-5.270324850000008
2022-03-11,93893.33344,93.89333344,-6.106666559999995
2022-03-14,93122.12996,93.12212996000001,-6.877870039999989
2022-03-15,94167.40942,94.16740942,-5.832590580000008
2022-03-16,95717.45169,95.71745169,-4.282548310000001
2022-03-17,96729.55452,96.72955452000001,-3.270445479999995
2022-03-18,96874.45195,96.87445195000001,-3.1255480499999932
2022-03-21,96706.23366,96.70623366,-3.293766340000004
2022-03-22,96868.58165000001,96.86858165000001,-3.1314183499999926
2022-03-23,95917.43871,95.91743871,-4.0825612899999975
2022-03-24,96514.9541,96.51495410000001,-3.4850458999999945
2022-03-25,97277.04645,97.27704645,-2.722953550000007
2022-03-28,97353.02263,97.35302263000001,-2.646977369999992
2022-03-29,98933.00136,98.93300135999999,-1.0669986400000053
2022-03-30,98402.02783,98.40202783000001,-1.597972169999995
2022-03-31,97244.81135,97.24481135,-2.7551886499999956
2022-04-01,98015.04917,98.01504917,-1.9849508299999985
2022-04-04,97417.10062,97.41710062,-2.5828993800000033
2022-04-05,96859.33142,96.85933142,-3.1406685799999945
2022-04-06,96955.94524,96.95594523999999,-3.0440547600000034
2022-04-07,96987.05352,96.98705352,-3.0129464800000005
2022-04-08,97023.34001,97.02334001,-2.976659989999997
2022-04-11,96095.80118,96.09580118,-3.9041988200000044
2022-04-12,95985.17418,95.98517418,-4.01482582
2022-04-13,96806.13291,96.80613291,-3.193867090000002
2022-04-14,96696.00173,96.69600173,-3.303998269999997
2022-04-18,96603.36499,96.60336499,-3.396635009999993
2022-04-19,97464.67241,97.46467240999999,-2.5353275900000027
2022-04-20,98488.76037,98.48876037000001,-1.5112396299999942
2022-04-21,97301.46467,97.30146467,-2.698535329999996
2022-04-22,95406.81193,95.40681193,-4.593188069999998
2022-04-25,95110.03163,95.11003163000001,-4.889968369999997
2022-04-26,93473.77713,93.47377713,-6.526222869999998
2022-04-27,93846.77969,93.84677968999999,-6.153220310000007
2022-04-28,94684.42507,94.68442507,-5.31557493
2022-04-29,92197.77115,92.19777115,-7.802228850000004
2022-05-02,91553.39577,91.55339577,-8.446604229999998
2022-05-03,92499.35839,92.49935839,-7.500641610000002
2022-05-04,94647.39879,94.64739879,-5.352601209999996
2022-05-05,92296.54154,92.29654154,-7.70345845999999
2022-05-06,91972.51921,91.97251921,-8.027480789999997
2022-05-09,89285.82041,89.28582041,-10.714179589999995
2022-05-10,89079.95819,89.07995819000001,-10.920041809999992
2022-05-11,88538.21862,88.53821862,-11.461781380000001
2022-05-12,88607.51755,88.60751755,-11.392482449999996
2022-05-13,90424.98846000001,90.42498846000001,-9.57501153999999
2022-05-16,90676.91744,90.67691744000001,-9.323082559999996
2022-05-17,91989.86917,91.98986917,-8.010130829999994
2022-05-18,89048.24938,89.04824937999999,-10.951750620000011
2022-05-19,88738.04879,88.73804879000001,-11.26195121
2022-05-20,89047.03321,89.04703321,-10.952966790000007
2022-05-23,90323.87203,90.32387202999999,-9.676127970000003
2022-05-24,90352.40643,90.35240643,-9.647593570000002
2022-05-25,91398.82589000001,91.39882589000001,-8.601174109999988
2022-05-26,92440.78959,92.44078959000001,-7.559210409999995
2022-05-27,94220.92332,94.22092332000001,-5.779076679999995
2022-05-30,94229.35792,94.22935791999998,-5.770642080000011
2022-05-31,93494.08198,93.49408198,-6.505918020000001
2022-06-01,93296.82993,93.29682993,-6.703170069999997
2022-06-02,94502.72314,94.50272314,-5.4972768599999995
2022-06-03,93852.37516,93.85237516000001,-6.147624839999999
2022-06-06,94096.15739000001,94.09615739000002,-5.9038426099999874
2022-06-07,95101.13616,95.10113616,-4.898863840000001
2022-06-08,93618.80516,93.61880516000001,-6.381194839999993
2022-06-09,91764.2297,91.7642297,-8.2357703
2022-06-10,90211.50538,90.21150538,-9.788494619999998
2022-06-13,86750.91948,86.75091948,-13.24908052
2022-06-14,86347.96836,86.34796836,-13.652031640000006
2022-06-15,86962.37146,86.96237146,-13.037628540000002
2022-06-16,84206.29532,84.20629532,-15.793704679999998
2022-06-17,83834.38633,83.83438633,-16.16561367
2022-06-20,83854.14093,83.85414093,-16.14585907
2022-06-21,85451.85429,85.45185429,-14.548145709999993
2022-06-22,85036.18419,85.03618419,-14.963815810000003
2022-06-23,85117.26594,85.11726594,-14.882734060000002
2022-06-24,87062.5246,87.0625246,-12.937475399999999
2022-06-27,87934.37301,87.93437301,-12.06562699
2022-06-28,87344.42531,87.34442531,-12.655574689999993
2022-06-29,86952.29947,86.95229947,-13.047700530000006
2022-06-30,86544.30506,86.54430506,-13.455694939999995
2022-07-01,87681.68966,87.68168966,-12.318310339999993
2022-07-04,87629.40266,87.62940266000001,-12.37059733999999
2022-07-05,86416.01939,86.41601939,-13.583980610000001
2022-07-06,86218.42231,86.21842231,-13.781577690000002
2022-07-07,87298.01476,87.29801476000002,-12.701985239999992
2022-07-08,87076.22893,87.07622893,-12.92377107
2022-07-11,86782.8035,86.7828035,-13.217196500000005
2022-07-12,86474.0028,86.47400280000001,-13.525997199999996
2022-07-13,86473.45737,86.47345737,-13.526542629999994
2022-07-14,85599.94877,85.59994877,-14.400051229999999
2022-07-15,86900.20178,86.90020178,-13.099798219999991
2022-07-18,86814.70621,86.81470621,-13.185293789999996
2022-07-19,89049.78137,89.04978136999999,-10.950218630000009
2022-07-20,89557.25965,89.55725965,-10.44274034999999
2022-07-21,89789.0301,89.7890301,-10.2109699
2022-07-22,89805.23845,89.80523845,-10.194761549999997
2022-07-25,90678.3336,90.67833359999999,-9.321666400000005
2022-07-26,90597.36628,90.59736628,-9.402633719999997
2022-07-27,92026.97129,92.02697129,-7.973028709999996
2022-07-28,93687.18397,93.68718396999999,-6.312816030000001
2022-07-29,94592.78723,94.59278723,-5.407212770000003
2022-08-01,94076.09324,94.07609324,-5.923906759999998
2022-08-02,93488.67174,93.48867174,-6.511328259999994
2022-08-03,93431.72878,93.43172878,-6.56827122
