date,equity
2022-09-16,109315.218774
2022-09-19,110040.959124
2022-09-20,108887.707124
2022-09-21,107892.226334
2022-09-22,106613.674354
2022-09-23,104845.590854
2022-09-26,103744.898834
2022-09-27,103822.592814
2022-09-28,105615.797714
2022-09-29,104215.394662
2022-09-30,103761.817823
2022-10-03,105717.39192
2022-10-04,108168.326874
2022-10-05,107705.372824
2022-10-06,107171.086862
2022-10-07,105375.534037
2022-10-10,104966.567586
2022-10-11,104833.984886
2022-10-12,104492.106011
2022-10-13,106073.282316
2022-10-14,104491.425404
2022-10-17,106351.618214
2022-10-18,107228.961714
2022-10-19,106204.285314
2022-10-20,105701.470444
2022-10-21,107316.588964
2022-10-24,107699.017734
2022-10-25,109419.175364
2022-10-26,109908.457444
2022-10-27,110013.288754
2022-10-28,111429.658354
2022-10-31,111316.755254
2022-11-01,111713.392704
2022-11-02,109486.199014
2022-11-03,109129.476874
2022-11-04,110630.102974
2022-11-07,111167.580254
2022-11-08,111414.810144
2022-11-09,109725.326524
2022-11-10,113846.239764
2022-11-11,115036.151724
2022-11-14,114218.349014
2022-11-15,115282.344404
2022-11-16,113995.422224
2022-11-17,113744.952584
2022-11-18,114068.895784
2022-11-21,113819.233724
2022-11-22,114853.181864
2022-11-23,115089.109164
2022-11-24,115092.659164
2022-11-25,115313.802554
2022-11-28,113736.243524
2022-11-29,114194.437714
2022-11-30,115990.898574
2022-12-01,116113.693804
2022-12-02,116139.104684
2022-12-05,114435.655754
2022-12-06,113596.728624
2022-12-07,113229.218514
2022-12-08,113674.267274
2022-12-09,113029.386284
2022-12-12,113797.950534
2022-12-13,114228.885884
2022-12-14,113945.333414
2022-12-15,112227.893324
2022-12-16,111609.645014
2022-12-19,110641.373974
2022-12-20,111020.706344
2022-12-21,112116.182574
2022-12-22,111309.048984
2022-12-23,111878.368034
2022-12-27,111867.785604
2022-12-28,110620.206574
2022-12-29,112138.239974
2022-12-30,112005.320194
2023-01-03,111907.778464
2023-01-04,113199.488104
2023-01-05,112669.710864
2023-01-06,114584.007944
2023-01-09,114862.655444
2023-01-10,115868.093184
2023-01-11,116719.851484
2023-01-12,117723.171844
2023-01-13,118007.728344
2023-01-16,118006.398344
2023-01-17,117953.445704
2023-01-18,116836.203444
2023-01-19,116250.903524
2023-01-20,117649.173564
2023-01-23,118724.474524
2023-01-24,118484.230004
2023-01-25,118829.894824
2023-01-26,119357.044964
2023-01-27,119556.870084
2023-01-30,118486.988044
2023-01-31,120241.942164
2023-02-01,121584.389644
2023-02-02,122591.125144
2023-02-03,121800.775874
2023-02-06,120736.980834
2023-02-07,121317.464644
2023-02-08,120104.119354
2023-02-09,119188.626984
2023-02-10,119275.922384
2023-02-13,120139.191334
2023-02-14,120141.435024
2023-02-15,120707.421174
2023-02-16,120279.867654
2023-02-17,120148.307624
2023-02-20,120148.907624
2023-02-21,118176.317934
2023-02-22,118250.286084
2023-02-23,118640.106054
2023-02-24,118059.483854
2023-02-27,118257.602094
2023-02-28,118096.983144
2023-03-01,118350.502964
2023-03-02,118655.821364
2023-03-03,119559.589974
2023-03-06,118455.318664
2023-03-07,117472.476584
2023-03-08,117691.278714
2023-03-09,116002.645054
2023-03-10,114129.456294
2023-03-13,113063.406874
2023-03-14,114150.331254
2023-03-15,112737.041384
2023-03-16,113439.745784
2023-03-17,111881.273424
2023-03-20,112651.941074
2023-03-21,113633.172564
2023-03-22,112027.956084
2023-03-23,111681.082364
2023-03-24,112192.553444
2023-03-27,112849.673294
2023-03-28,113062.562364
2023-03-29,113963.301594
2023-03-30,114089.945564
2023-03-31,115331.829724
2023-04-03,115365.201524
2023-04-04,113883.419374
2023-04-05,113378.367124
